site;province;city;district;village
Taman Hotang Sasa;Sumatera Utara;Padang Lawas Utara;Portibi;Hotang Sasa
Taman Hou;Sumatera Utara;Nias;Bawolato;Hou
Taman Hoya;Sumatera Utara;Nias Selatan;Sidua'Ori;Hoya
Taman Hula Baringin;Sumatera Utara;Padang Lawas Utara;Dolok;Hula Baringin
Taman Hulim;Sumatera Utara;Padang Lawas;Sosopan;Hulim
Taman Hulu Teso;Riau;Kuantan Singingi;Logas Tanah Darat;Hulu Teso
Taman Humbang I;Sumatera Utara;Mandailing Natal;Naga Juang;Humbang I
Taman Hume;Sumatera Utara;Nias Selatan;Aramo;Hume
Taman Humene;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Humene
Taman Humene Siheneasi;Sumatera Utara;Nias Utara;Tugala Oyo;Humene Siheneasi
Taman Huno;Sumatera Utara;Nias;Somolo-Molo;Huno
Taman Huraba;Sumatera Utara;Tapanuli Selatan;Angkola Timur;Huraba
Taman Huraba;Sumatera Utara;Tapanuli Selatan;Marancar;Huraba
Taman Huraba I;Sumatera Utara;Mandailing Natal;Siabu;Huraba I
Taman Huraba Ii;Sumatera Utara;Mandailing Natal;Siabu;Huraba Ii
Taman Hurase;Sumatera Utara;Tapanuli Selatan;Batang Angkola;Hurase
Taman Huristak;Sumatera Utara;Padang Lawas;Huristak;Huristak
Taman Hurlang Muara Nauli;Sumatera Utara;Tapanuli Tengah;Kolang;Hurlang Muara Nauli
Taman Hurung Jilok;Sumatera Utara;Padang Lawas;Sosa;Hurung Jilok
Taman Huta Bangun;Sumatera Utara;Mandailing Natal;Panyabungan Timur;Huta Bangun
Taman Huta Bangun;Sumatera Utara;Mandailing Natal;Bukit Malintang;Huta Bangun
Taman Huta Bangun Jae;Sumatera Utara;Mandailing Natal;Bukit Malintang;Huta Bangun Jae
Taman Huta Bara;Sumatera Utara;Padang Lawas;Sosopan;Huta Bara
Taman Huta Barat;Sumatera Utara;Tapanuli Utara;Pahae Julu;Huta Barat
Taman Huta Bargot;Sumatera Utara;Padang Lawas;Sosopan;Huta Bargot
Taman Huta Bargot;Sumatera Utara;Padang Lawas;Aek Nabara Barumun;Huta Bargot
Taman Huta Bargot Dolok;Sumatera Utara;Mandailing Natal;Huta Bargot;Huta Bargot Dolok
Taman Huta Bargot Lombang;Sumatera Utara;Mandailing Natal;Huta Bargot;Huta Bargot Lombang
Taman Huta Bargot Nauli;Sumatera Utara;Mandailing Natal;Huta Bargot;Huta Bargot Nauli
Taman Huta Bargot Setia;Sumatera Utara;Mandailing Natal;Huta Bargot;Huta Bargot Setia
Taman Huta Baringin;Sumatera Utara;Mandailing Natal;Panyabungan Barat;Huta Baringin
Taman Huta Baringin;Sumatera Utara;Mandailing Natal;Siabu;Huta Baringin
Taman Huta Baringin;Sumatera Utara;Mandailing Natal;Ranto Baek;Huta Baringin
Taman Huta Baringin;Sumatera Utara;Mandailing Natal;Puncak Sorik Marapi;Huta Baringin
Taman Huta Baringin;Sumatera Utara;Padang Lawas Utara;Simangambat;Huta Baringin
Taman Huta Baringin Tb;Sumatera Utara;Mandailing Natal;Kotanopan;Huta Baringin Tb
Taman Huta Baru;Sumatera Utara;Tapanuli Selatan;Batang Toru;Huta Baru
Taman Huta Baru;Sumatera Utara;Mandailing Natal;Puncak Sorik Marapi;Huta Baru
Taman Huta Baru Sil;Sumatera Utara;Padang Lawas Utara;Dolok;Huta Baru Sil
Taman Huta Baru Sip;Sumatera Utara;Padang Lawas Utara;Dolok;Huta Baru Sip
Taman Huta Damai;Sumatera Utara;Mandailing Natal;Panyabungan Utara;Huta Damai
Taman Huta Dangka;Sumatera Utara;Mandailing Natal;Kotanopan;Huta Dangka
Taman Huta Dolok;Sumatera Utara;Padang Lawas;Lubuk Barumun;Huta Dolok
Taman Huta Gambir;Sumatera Utara;Mandailing Natal;Pakantan;Huta Gambir
Taman Huta Ginjang;Sumatera Utara;Tapanuli Selatan;Angkola Timur;Huta Ginjang
Taman Huta Godang;Sumatera Utara;Tapanuli Selatan;Batang Toru;Huta Godang
Taman Huta Godang;Sumatera Utara;Labuhanbatu Selatan;Sungai Kanan;Huta Godang
Taman Huta Godang Muda;Sumatera Utara;Mandailing Natal;Siabu;Huta Godang Muda
Taman Huta Holbung;Sumatera Utara;Tapanuli Selatan;Angkola Muara Tais;Huta Holbung
Taman Huta Julu;Sumatera Utara;Mandailing Natal;Panyabungan Selatan;Huta Julu
Taman Huta Julu;Sumatera Utara;Mandailing Natal;Pakantan;Huta Julu
Taman Huta Koje;Sumatera Utara;Kota Padang Sidempuan;Padangsidimpuan Tenggara;Huta Koje
Taman Huta Lambung;Sumatera Utara;Padang Lawas Utara;Batang Onang;Huta Lambung
Taman Huta Lobu;Sumatera Utara;Mandailing Natal;Batang Natal;Huta Lobu
Taman Huta Lombang;Sumatera Utara;Mandailing Natal;Puncak Sorik Marapi;Huta Lombang
Taman Huta Lombang;Sumatera Utara;Padang Lawas;Lubuk Barumun;Huta Lombang
Taman Huta Lombang;Sumatera Utara;Kota Padang Sidempuan;Padangsidimpuan Tenggara;Huta Lombang
Taman Huta Lombang Lubis;Sumatera Utara;Mandailing Natal;Panyabungan;Huta Lombang Lubis
Taman Huta Nauli;Sumatera Utara;Mandailing Natal;Ranto Baek;Huta Nauli
Taman Huta Nopan;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Huta Nopan
Taman Huta Padang;Sumatera Utara;Tapanuli Selatan;Batang Angkola;Huta Padang
Taman Huta Padang;Sumatera Utara;Mandailing Natal;Pakantan;Huta Padang
Taman Huta Padang;Sumatera Utara;Kota Padang Sidempuan;Padangsidimpuan Tenggara;Huta Padang
Taman Huta Padang;Sumatera Utara;Kota Padang Sidempuan;Padangsidimpuan Hutaimbaru;Huta Padang
Taman Huta Padang Ms;Sumatera Utara;Mandailing Natal;Kotanopan;Huta Padang Ms
Taman Huta Padang Up;Sumatera Utara;Mandailing Natal;Ulu Pungkut;Huta Padang Up
Taman Huta Pardomuan;Sumatera Utara;Tapanuli Selatan;Sayur Matinggi;Huta Pardomuan
Taman Huta Pasir;Sumatera Utara;Padang Lawas Utara;Simangambat;Huta Pasir
Taman Huta Pasir Ulak Tano;Sumatera Utara;Padang Lawas;Huristak;Huta Pasir Ulak Tano
Taman Huta Puli;Sumatera Utara;Mandailing Natal;Siabu;Huta Puli
Taman Huta Pungkut Jae;Sumatera Utara;Mandailing Natal;Kotanopan;Huta Pungkut Jae
Taman Huta Pungkut Julu;Sumatera Utara;Mandailing Natal;Kotanopan;Huta Pungkut Julu
Taman Huta Pungkut Tonga;Sumatera Utara;Mandailing Natal;Kotanopan;Huta Pungkut Tonga
Taman Huta Raja;Sumatera Utara;Tapanuli Selatan;Tano Tombangan Angkola;Huta Raja
Taman Huta Raja;Sumatera Utara;Mandailing Natal;Panyabungan Selatan;Huta Raja
Taman Huta Raja;Sumatera Utara;Mandailing Natal;Siabu;Huta Raja
Taman Huta Raja;Sumatera Utara;Mandailing Natal;Ranto Baek;Huta Raja
Taman Huta Raja;Sumatera Utara;Padang Lawas Utara;Ujung Batu;Huta Raja
Taman Huta Raja;Sumatera Utara;Padang Lawas Utara;Ujung Batu;Huta Raja
Taman Huta Raja Lamo;Sumatera Utara;Padang Lawas;Sosa;Huta Raja Lamo
Taman Huta Ruhom;Sumatera Utara;Padang Lawas;Barumun Tengah;Huta Ruhom
Taman Huta Tinggi;Sumatera Utara;Mandailing Natal;Panyabungan Timur;Huta Tinggi
Taman Huta Tonga Ab;Sumatera Utara;Mandailing Natal;Tambangan;Huta Tonga Ab
Taman Huta Tonga Bb;Sumatera Utara;Mandailing Natal;Panyabungan Barat;Huta Tonga Bb
Taman Huta Toras;Sumatera Utara;Mandailing Natal;Pakantan;Huta Toras
Taman Hutabaringin Julu;Sumatera Utara;Mandailing Natal;Puncak Sorik Marapi;Hutabaringin Julu
Taman Hutabaru;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Hutabaru
Taman Hutabaru Nangka;Sumatera Utara;Padang Lawas Utara;Halongonan Timur;Hutabaru Nangka
Taman Hutabaru Siundol;Sumatera Utara;Padang Lawas;Sosopan;Hutabaru Siundol
Taman Hutabaru Sosopan;Sumatera Utara;Padang Lawas;Sosopan;Hutabaru Sosopan
Taman Hutagur-Gur;Sumatera Utara;Tapanuli Tengah;Sibabangun;Hutagur-Gur
Taman Hutaibus;Sumatera Utara;Padang Lawas;Lubuk Barumun;Hutaibus
Taman Hutaimbaru;Sumatera Utara;Mandailing Natal;Panyabungan Timur;Hutaimbaru
Taman Hutaimbaru;Sumatera Utara;Mandailing Natal;Muara Batang Gadis;Hutaimbaru
Taman Hutaimbaru;Sumatera Utara;Padang Lawas Utara;Halongonan;Hutaimbaru
Taman Hutaimbaru;Sumatera Utara;Padang Lawas;Sosa;Hutaimbaru
Taman Hutaimbaru Gul;Sumatera Utara;Padang Lawas Utara;Dolok;Hutaimbaru Gul
Taman Hutaimbaru Ii;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Hutaimbaru Ii
Taman Hutaimbaru UP;Sumatera Utara;Mandailing Natal;Ulu Pungkut;Hutaimbaru UP
Taman Hutalimbong;Sumatera Utara;Kota Padang Sidempuan;Padangsidimpuan Tenggara;Hutalimbong
Taman Hutalombang;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Hutalombang
Taman Hutanagodang;Sumatera Utara;Tapanuli Utara;Purbatua;Hutanagodang
Taman Hutanaingkan;Sumatera Utara;Mandailing Natal;Panyabungan Utara;Hutanaingkan
Taman Hutanamale;Sumatera Utara;Mandailing Natal;Puncak Sorik Marapi;Hutanamale
Taman Hutanopan;Sumatera Utara;Padang Lawas Utara;Halongonan;Hutanopan
Taman Hutanopan;Sumatera Utara;Padang Lawas;Lubuk Barumun;Hutanopan
Taman Hutapuli;Sumatera Utara;Mandailing Natal;Kotanopan;Hutapuli
Taman Hutaraja;Sumatera Utara;Tapanuli Selatan;Muara Batang Toru;Hutaraja
Taman Hutaraja Tinggi;Sumatera Utara;Padang Lawas;Huta Raja Tinggi;Hutaraja Tinggi
Taman Hutarimbaru;Sumatera Utara;Mandailing Natal;Panyabungan Selatan;Hutarimbaru
Taman Hutarimbaru;Sumatera Utara;Mandailing Natal;Huta Bargot;Hutarimbaru
Taman Hutarimbaru;Sumatera Utara;Padang Lawas;Barumun;Hutarimbaru
Taman Hutarimbaru Sm;Sumatera Utara;Mandailing Natal;Kotanopan;Hutarimbaru Sm
Taman Hutasuhut;Sumatera Utara;Tapanuli Selatan;Sipirok;Hutasuhut
Taman Hutatinggi;Sumatera Utara;Mandailing Natal;Puncak Sorik Marapi;Hutatinggi
Taman I'Odano;Sumatera Utara;Nias;Somolo-Molo;I'Odano
Taman Ibuah;Sumatera Barat;Kota Payakumbuh;Payakumbuh Barat;Ibuah
Taman Ibul;Riau;Kuantan Singingi;Pucuk Rantau;Ibul
Taman Ibul;Riau;Kuantan Singingi;Pucuk Rantau;Ibul
Taman Idala Jaya Hilisimaetano;Sumatera Utara;Nias Selatan;Maniamolo;Idala Jaya Hilisimaetano
Taman Idaman;Riau;Indragiri Hilir;Gaung Anak Serka;Idaman
Taman Idanotae;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Idanotae
Taman Idanotae;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Idanotae
Taman Igal;Riau;Indragiri Hilir;Mandah;Igal
Taman Iii Koto;Sumatera Barat;Tanah Datar;Rambatan;Iii Koto
Taman Iii Koto Aur Malintang;Sumatera Barat;Padang Pariaman;Iv Koto Aur Malintang;Iii Koto Aur Malintang
Taman Iii Koto Aur Malintang Selatan;Sumatera Barat;Padang Pariaman;Iv Koto Aur Malintang;Iii Koto Aur Malintang Selatan
Taman Iii Koto Aur Malintang Timur;Sumatera Barat;Padang Pariaman;Iv Koto Aur Malintang;Iii Koto Aur Malintang Timur
Taman Iii Koto Aur Malintang Utara;Sumatera Barat;Padang Pariaman;Iv Koto Aur Malintang;Iii Koto Aur Malintang Utara
Taman Ikua Koto Dibalai;Sumatera Barat;Kota Payakumbuh;Payakumbuh Utara;Ikua Koto Dibalai
Taman Imana;Sumatera Utara;Nias Barat;Sirombu;Imana
Taman Imana;Sumatera Utara;Nias Barat;Sirombu;Imana
Taman Inderapura;Sumatera Barat;Pesisir Selatan;Pancung Soal;Inderapura
Taman Inderapura Barat;Sumatera Barat;Pesisir Selatan;Pancung Soal;Inderapura Barat
Taman Inderapura Selatan;Sumatera Barat;Pesisir Selatan;Pancung Soal;Inderapura Selatan
Taman Inderapura Tengah;Sumatera Barat;Pesisir Selatan;Pancung Soal;Inderapura Tengah
Taman Inderapura Timur;Sumatera Barat;Pesisir Selatan;Airpura;Inderapura Timur
Taman Inderapura Utara;Sumatera Barat;Pesisir Selatan;Airpura;Inderapura Utara
Taman Indra Sakti;Riau;Kampar;Tapung;Indra Sakti
Taman Indra Sari Jaya;Riau;Indragiri Hilir;Teluk Belengkong;Indra Sari Jaya
Taman Indrapuri;Riau;Kampar;Tapung;Indrapuri
Taman Indudur;Sumatera Barat;Solok;Ix Koto Sungai Lasi;Indudur
Taman Ingul Jae;Sumatera Utara;Tapanuli Selatan;Tano Tombangan Angkola;Ingul Jae
Taman Insit;Riau;Kepulauan Meranti;Tebing Tinggi Barat;Insit
Taman Intan Jaya;Riau;Kampar;Tapung Hulu;Intan Jaya
Taman Intan Mulia Jaya;Riau;Indragiri Hilir;Pelangiran;Intan Mulia Jaya
Taman Inuman;Riau;Kuantan Singingi;Hulu Kuantan;Inuman
Taman Ipar Bondar;Sumatera Utara;Mandailing Natal;Panyabungan;Ipar Bondar
Taman Iraono Lase;Sumatera Utara;Nias Utara;Lahewa;Iraono Lase
Taman Iraonogaila;Sumatera Utara;Nias Barat;Lahomi;Iraonogaila
Taman Iraonogambo;Sumatera Utara;Nias Barat;Mandrehe;Iraonogambo
Taman Iraonogambo;Sumatera Utara;Nias Barat;Mandrehe;Iraonogambo
Taman Iraonogeba;Sumatera Utara;Nias Barat;Mandrehe Barat;Iraonogeba
Taman Iraonogeba;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli;Iraonogeba
Taman Iraonolase;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Alo'Oa;Iraonolase
Taman Iv Koto Hilie;Sumatera Barat;Pesisir Selatan;Batang Kapas;Iv Koto Hilie
Taman Iv Koto Mudiek;Sumatera Barat;Pesisir Selatan;Batang Kapas;Iv Koto Mudiek
Taman Iv Koto Setingkai;Riau;Kampar;Kampar Kiri;Iv Koto Setingkai
Taman Jabi Jabi;Sumatera Utara;Padang Lawas Utara;Simangambat;Jabi Jabi
Taman Jadi Makmur (Persiapan);Riau;Rokan Hilir;Bagan Sinembah;Jadi Makmur (Persiapan)
Taman Jago Jago;Sumatera Utara;Tapanuli Tengah;Badiri;Jago Jago
Taman Jaho;Sumatera Barat;Tanah Datar;X Koto;Jaho
Taman Jake;Riau;Kuantan Singingi;Kuantan Tengah;Jake
Taman Jalur Patah;Riau;Kuantan Singingi;Sentajo Raya;Jalur Patah
Taman Jambai Makmur;Riau;Siak;Kandis;Jambai Makmur
Taman Jambak;Sumatera Barat;Pasaman;Lubuk Sikaping;Jambak
Taman Jambak Selatan (Persiapan);Sumatera Barat;Pasaman Barat;Luhak Nan Duo;Jambak Selatan (Persiapan)
Taman Jambu Tonang;Sumatera Utara;Padang Lawas Utara;Ujung Batu;Jambu Tonang
Taman Jambur Baru;Sumatera Utara;Mandailing Natal;Batang Natal;Jambur Baru
Taman Jambur Batu;Sumatera Utara;Padang Lawas Utara;Dolok;Jambur Batu
Taman Jambur Padang Matinggi;Sumatera Utara;Mandailing Natal;Panyabungan Utara;Jambur Padang Matinggi
Taman Jangkang;Riau;Bengkalis;Bantan;Jangkang
Taman Janji Lobi Lima;Sumatera Utara;Padang Lawas;Lubuk Barumun;Janji Lobi Lima
Taman Janji Manahan;Sumatera Utara;Padang Lawas Utara;Batang Onang;Janji Manahan
Taman Janji Manahan;Sumatera Utara;Padang Lawas;Barumun Tengah;Janji Manahan
Taman Janji Manahan Gul;Sumatera Utara;Padang Lawas Utara;Dolok;Janji Manahan Gul
Taman Janji Manahan Sil;Sumatera Utara;Padang Lawas Utara;Dolok;Janji Manahan Sil
Taman Janji Manaon;Sumatera Utara;Tapanuli Selatan;Batang Angkola;Janji Manaon
Taman Janji Maria;Sumatera Utara;Tapanuli Tengah;Sukabangun;Janji Maria
Taman Janji Maria;Sumatera Utara;Padang Lawas;Aek Nabara Barumun;Janji Maria
Taman Janji Matogu;Sumatera Utara;Mandailing Natal;Bukit Malintang;Janji Matogu
Taman Janji Matogu;Sumatera Utara;Padang Lawas Utara;Portibi;Janji Matogu
Taman Janji Matogu;Sumatera Utara;Padang Lawas Utara;Simangambat;Janji Matogu
Taman Janji Matogu;Sumatera Utara;Padang Lawas;Barumun Tengah;Janji Matogu
Taman Janji Matogu;Sumatera Utara;Padang Lawas;Lubuk Barumun;Janji Matogu
Taman Janji Matogu;Sumatera Utara;Padang Lawas Utara;Dolok;Janji Matogu
Taman Janji Mauli;Sumatera Utara;Tapanuli Selatan;Sipirok;Janji Mauli
Taman Janji Mauli;Sumatera Utara;Padang Lawas Utara;Batang Onang;Janji Mauli
Taman Janji Mauli Baringin;Sumatera Utara;Tapanuli Selatan;Sayur Matinggi;Janji Mauli Baringin
Taman Janji Mauli MT;Sumatera Utara;Tapanuli Selatan;Angkola Muara Tais;Janji Mauli MT
Taman Janji Natogu;Sumatera Utara;Tapanuli Utara;Pahae Julu;Janji Natogu
Taman Janji Nauli;Sumatera Utara;Tapanuli Utara;Purbatua;Janji Nauli
Taman Janji Raja;Sumatera Utara;Padang Lawas;Barumun Tengah;Janji Raja
Taman Janjilobi;Sumatera Utara;Padang Lawas;Barumun;Janjilobi
Taman Janjiraja;Sumatera Utara;Padang Lawas;Sosa;Janjiraja
Taman Japinulik;Sumatera Utara;Padang Lawas Utara;Halongonan;Japinulik
Taman Japura;Riau;Indragiri Hulu;Lirik;Japura
Taman Jati Baru;Riau;Siak;Bunga Raya;Jati Baru
Taman Jati Mudik;Sumatera Barat;Kota Pariaman;Pariaman Tengah;Jati Mudik
Taman Jati Mulya;Riau;Siak;Kerinci Kanan;Jati Mulya
Taman Jati Rejo;Riau;Indragiri Hulu;Pasir Penyu;Jati Rejo
Taman Jawi Jawi;Sumatera Barat;Solok;Gunung Talang;Jawi Jawi
Taman Jaya;Riau;Kuantan Singingi;Kuantan Tengah;Jaya
Taman Jaya Agung;Riau;Rokan Hilir;Bagan Sinembah;Jaya Agung
Taman Jaya Bhakti;Riau;Indragiri Hilir;Enok;Jaya Bhakti
Taman Jayapura;Riau;Siak;Bunga Raya;Jayapura
Taman Jeke;Sumatera Utara;Nias Selatan;Tanah Masa;Jeke
Taman Jerambang;Riau;Indragiri Hilir;Gaung;Jerambang
Taman Jinang Kampung Pansur Ampang Pulai;Sumatera Barat;Pesisir Selatan;Koto Xi Tarusan;Jinang Kampung Pansur Ampang Pulai
Taman Jopang Manganti;Sumatera Barat;Lima Puluh Kota;Mungka;Jopang Manganti
Taman Joring Lombang;Sumatera Utara;Kota Padang Sidempuan;Padangsidimpuan Angkola Julu;Joring Lombang
Taman Joring Natobang;Sumatera Utara;Kota Padang Sidempuan;Padangsidimpuan Angkola Julu;Joring Natobang
Taman Jumrah;Riau;Rokan Hilir;Rimba Melintang;Jumrah
Taman Kabun;Riau;Rokan Hulu;Kabun;Kabun
Taman Kacang;Sumatera Barat;Solok;X Koto Singkarak;Kacang
Taman Kafo Kafo;Sumatera Utara;Nias Barat;Sirombu;Kafo Kafo
Taman Kajai;Sumatera Barat;Pasaman Barat;Talamau;Kajai
Taman Kajai;Sumatera Barat;Kota Pariaman;Pariaman Timur;Kajai
Taman Kajai Selatan (Persiapan);Sumatera Barat;Pasaman Barat;Talamau;Kajai Selatan (Persiapan)
Taman Kalangan;Sumatera Utara;Tapanuli Tengah;Pandan;Kalangan
Taman Kalangan Indah;Sumatera Utara;Tapanuli Tengah;Pandan;Kalangan Indah
Taman Kaluat;Sumatera Barat;Kota Pariaman;Pariaman Timur;Kaluat
Taman Kamang;Sumatera Barat;Sijunjung;Kamang Baru;Kamang
Taman Kamang Hilia;Sumatera Barat;Agam;Kamang Magek;Kamang Hilia
Taman Kamang Mudiak;Sumatera Barat;Agam;Kamang Magek;Kamang Mudiak
Taman Kamang Tangah Anam Suku (Persiapan);Sumatera Barat;Agam;Kamang Magek;Kamang Tangah Anam Suku (Persiapan)
Taman Kambang;Sumatera Barat;Pesisir Selatan;Lengayang;Kambang
Taman Kambang Barat;Sumatera Barat;Pesisir Selatan;Lengayang;Kambang Barat
Taman Kambang Timur;Sumatera Barat;Pesisir Selatan;Lengayang;Kambang Timur
Taman Kambang Utara;Sumatera Barat;Pesisir Selatan;Lengayang;Kambang Utara
Taman Kampar;Riau;Kampar;Kampa;Kampar
Taman Kampuang Gelapuang Ulakan;Sumatera Barat;Padang Pariaman;Ulakan Tapakis;Kampuang Gelapuang Ulakan
Taman Kampuang Tanjuang Koto Mambang Sungai;Sumatera Barat;Padang Pariaman;Patamuan;Kampuang Tanjuang Koto Mambang Sungai
Taman Kampung Apar;Sumatera Barat;Kota Pariaman;Pariaman Selatan;Kampung Apar
Taman Kampung Baru;Sumatera Utara;Mandailing Natal;Panyabungan Utara;Kampung Baru
Taman Kampung Baru;Sumatera Utara;Mandailing Natal;Lingga Bayu;Kampung Baru
Taman Kampung Baru;Riau;Indragiri Hilir;Concong;Kampung Baru
Taman Kampung Baru;Riau;Pelalawan;Ukui;Kampung Baru
Taman Kampung Baru;Riau;Kuantan Singingi;Cerenti;Kampung Baru
Taman Kampung Baru;Riau;Kuantan Singingi;Gunung Toar;Kampung Baru
Taman Kampung Baru;Sumatera Barat;Kota Pariaman;Pariaman Tengah;Kampung Baru
Taman Kampung Baru Ibul;Riau;Kuantan Singingi;Pucuk Rantau;Kampung Baru Ibul
Taman Kampung Baru Korong Nan Ampek;Sumatera Barat;Pesisir Selatan;Koto Xi Tarusan;Kampung Baru Korong Nan Ampek
Taman Kampung Baru Koto;Riau;Kuantan Singingi;Inuman;Kampung Baru Koto
Taman Kampung Baru Padusunan;Sumatera Barat;Kota Pariaman;Pariaman Timur;Kampung Baru Padusunan
Taman Kampung Baru Timur;Riau;Kuantan Singingi;Cerenti;Kampung Baru Timur
Taman Kampung Batu Dalam;Sumatera Barat;Solok;Danau Kembar;Kampung Batu Dalam
Taman Kampung Bunga;Riau;Indragiri Hulu;Rakit Kulim;Kampung Bunga
Taman Kampung Dalam;Sumatera Barat;Sijunjung;Lubuk Tarok;Kampung Dalam
Taman Kampung Gadang;Sumatera Barat;Kota Pariaman;Pariaman Timur;Kampung Gadang
Taman Kampung Jao;Sumatera Barat;Kota Padang;Padang Barat;Kampung Jao
Taman Kampung Kandang;Sumatera Barat;Kota Pariaman;Pariaman Timur;Kampung Kandang
Taman Kampung Kapas;Sumatera Utara;Mandailing Natal;Batahan;Kampung Kapas
Taman Kampung Kapas I;Sumatera Utara;Mandailing Natal;Batahan;Kampung Kapas I
Taman Kampung Kapas Ii;Sumatera Utara;Mandailing Natal;Sinunukan;Kampung Kapas Ii
Taman Kampung Madura;Riau;Kuantan Singingi;Kuantan Hilir;Kampung Madura
Taman Kampung Medan;Riau;Kuantan Singingi;Kuantan Hilir;Kampung Medan
Taman Kampung Padang;Sumatera Utara;Mandailing Natal;Panyabungan;Kampung Padang
Taman Kampung Panjang;Riau;Kampar;Kampar Utara;Kampung Panjang
Taman Kampung Pinang;Sumatera Utara;Mandailing Natal;Muara Sipongi;Kampung Pinang
Taman Kampung Pinang;Riau;Kampar;Perhentian Raja;Kampung Pinang
Taman Kampung Pondok;Sumatera Barat;Kota Padang;Padang Barat;Kampung Pondok
Taman Kampung Pulau;Riau;Indragiri Hulu;Rengat;Kampung Pulau
Taman Kampung Sawah;Sumatera Utara;Mandailing Natal;Natal;Kampung Sawah
Taman Kampung Tangah;Sumatera Barat;Agam;Lubuk Basung;Kampung Tangah
Taman Kampung Tangah;Sumatera Barat;Kota Pariaman;Pariaman Timur;Kampung Tangah
Taman Kampung Tengah;Riau;Siak;Mempura;Kampung Tengah
Taman Kampung Tengah;Riau;Kuantan Singingi;Kuantan Hilir;Kampung Tengah
Taman Kampung Tengah Tapan;Sumatera Barat;Pesisir Selatan;Ranah Ampek Hulu Tapan;Kampung Tengah Tapan
Taman Kampungbaru Sentajo;Riau;Kuantan Singingi;Sentajo Raya;Kampungbaru Sentajo
Taman Kandang Baru;Sumatera Barat;Sijunjung;Sijunjung;Kandang Baru
Taman Kandis;Riau;Siak;Kandis;Kandis
Taman Kapa;Sumatera Barat;Pasaman Barat;Luhak Nan Duo;Kapa
Taman Kapalo Hilalang;Sumatera Barat;Padang Pariaman;2 X 11 Kayu Tanam;Kapalo Hilalang
Taman Kapalo Koto;Sumatera Barat;Padang Pariaman;Nan Sabaris;Kapalo Koto
Taman Kapalo Koto Ampangan;Sumatera Barat;Kota Payakumbuh;Payakumbuh Selatan;Kapalo Koto Ampangan
Taman Kapalo Koto Dibalai;Sumatera Barat;Kota Payakumbuh;Payakumbuh Utara;Kapalo Koto Dibalai
Taman Kapau;Sumatera Barat;Agam;Tilatang Kamang;Kapau
Taman Kapau Alam Pauh Duo;Sumatera Barat;Solok Selatan;Pauh Duo;Kapau Alam Pauh Duo
Taman Kapeh Panji Jaya Talaok;Sumatera Barat;Pesisir Selatan;Bayang;Kapeh Panji Jaya Talaok
Taman Kapelgam Koto Berapak;Sumatera Barat;Pesisir Selatan;Bayang;Kapelgam Koto Berapak
Taman Kapuah Utara;Sumatera Barat;Pesisir Selatan;Koto Xi Tarusan;Kapuah Utara
Taman Kapuh;Sumatera Barat;Pesisir Selatan;Koto Xi Tarusan;Kapuh
Taman Kapujan Koto Berapak;Sumatera Barat;Pesisir Selatan;Bayang;Kapujan Koto Berapak
Taman Karya Bakti;Riau;Kampar;Kampar Kiri Tengah;Karya Bakti
Taman Karya Indah;Riau;Kampar;Tapung;Karya Indah
Taman Karya Mukti;Riau;Rokan Hilir;Rimba Melintang;Karya Mukti
Taman Karya Mulya;Riau;Rokan Hulu;Rambah Samo;Karya Mulya
Taman Karya Tani;Riau;Indragiri Hilir;Kempas;Karya Tani
Taman Karya Tunas Jaya;Riau;Indragiri Hilir;Tempuling;Karya Tunas Jaya
Taman Kasang;Sumatera Barat;Padang Pariaman;Batang Anai;Kasang
Taman Kasang;Riau;Kuantan Singingi;Kuantan Mudik;Kasang
Taman Kasang Bangsawan;Riau;Rokan Hilir;Pujud;Kasang Bangsawan
Taman Kasang Bangsawan Muda;Riau;Rokan Hilir;Pujud;Kasang Bangsawan Muda
Taman Kasang Limau Sundai;Riau;Kuantan Singingi;Kuantan Hilir Seberang;Kasang Limau Sundai
Taman Kasang Mungkal;Riau;Rokan Hulu;Bonai Darussalam;Kasang Mungkal
Taman Kasang Padang;Riau;Rokan Hulu;Bonai Darussalam;Kasang Padang
Taman Kasik Putih Sungai Tanang (Persiapan);Sumatera Barat;Pasaman Barat;Sungai Aur;Kasik Putih Sungai Tanang (Persiapan)
Taman Kasikan;Riau;Kampar;Tapung Hulu;Kasikan
Taman Katapiang;Sumatera Barat;Padang Pariaman;Batang Anai;Katapiang
Taman Katiagan;Sumatera Barat;Pasaman Barat;Kinali;Katiagan
Taman Katialo;Sumatera Barat;Solok;X Koto Diatas;Katialo
Taman Katipo Pura;Riau;Indragiri Hulu;Peranap;Katipo Pura
Taman Katurei;Sumatera Barat;Kepulauan Mentawai;Siberut Barat Daya;Katurei
Taman Kayu Ara;Riau;Kepulauan Meranti;Rangsang Pesisir;Kayu Ara
